Gloss	Pitch	Spoken Form	Analyzed Tone	Underlying Form	Close Gloss	Notes
							
I am sleeping.	5;35;5	mə nɛn zi		mə nɛn zi	1p-sg-nom prog. sleep	More info in "Temporal Appendix"	
I went after I ate	5;3;2;2;2,2	mə ʒɯ ʒu kɔ nɛnɑ̃ 		mə ʒɯ ʒu kɔ nɛnɑ̃ 	1p-sg eat-pst1 something then go-pst?	Verify tense on "go"	
I slept, then Ariane went.	5;3;32;2,2,3;2,1	mə zi kɔ arian nɛnɑ̃		mə zi kɔ arian nɛnɑ̃	1p-sg sleep-pst1 then Ariane go-pst?		
I went at the same time that Ariane ate.	3;5,32;2,3;2;1,1,2;2,21	mə nɛnɑ̃ ŋgalaŋ zə arian gə nʒɯ ʒu lɔ		mə nɛnɑ̃ ŋgalaŋ zə arian gə nʒɯ ʒu lɔ	I went then that Ariane ? eat something ?		
I saw the dog	5;3;2	mə jən mʙɯ		mə jən mʙɯ	1p-sg see-pst1 dog		
I gave the woman a dog.	5;3;2;2,3	mə fɔ mʙɯ mɛnzwi	5;3;2;2,3	mə fɔ mʙɯ mɛnzwi	1p-sg-nom give dog woman		
I did not see the mango.		mə kəʔ jən mɔŋgolo	3;5;3;21,2,1	mə kəʔ jən mɔŋgolo	1p-sg-nom neg. see mango		
Did I see the cat?		mə jən busi gi	5;3;2,3;3	mə jən busi gi	1p-sg-nom see-pst1 cat question		
The woman sells bananas	3,5;23;2,1	mɛnzwi swɛn kolo		mɛnzwi swɛn kolo	woman sell-pst1 banana		
Ariane left immediately after I slept.	5;3;3;2;1,1,2;1	mə jɔɣ nzi ndʒɯ arian nɛn  		mə jɔk nzi ndʒɯ arian nɛn  	1p-sg ? ? ? Ariane go-pst1	More info in annabelew_temporal.pdf	
Ariane went, then I slept.	3,3,5;2;32;3;3	arian nɛn kɔ mə nzi 		arian nɛn kɔ mə nzi 	Ariane go-pst1 then 1p-sg-nom ?		
I was sleeping (recently).	5;2;3;3	mə fɔ gə nzi		mə fɔ gə nzi	1p-sg ? ? sleep-prog		
I was sleeping (not recently)	3;5;3;3	mə nɔʔ gə nzi		mə nɔʔ gə nzi	1p-sg ? ? sleep-pst2		
Ariane went while I was sleeping (recently)	3,3,5;3,32;2,3;2;2;2;3;3;3	arian nɛnɑ̃ ŋgalaŋ zə mə fɔ gə nzi lɔ		arian nɛnɑ̃ ŋgalaŋ zə mə fɔ gə nzi lɔ	Ariane go-pst1 time that 1p-sg ? ? sleep-pst1 ?		
While I was sleeping (recently), Ariane went.	3,5;3;3;3;5;5;5;2,2,3;2	ŋgalaŋ zə mə fɔ gə nzi lɔ arian nɛn		ŋgalaŋ zə mə fɔ gə nzi lɔ arian nɛn	time REL 1p-sg ? ? sleep-pst1 REL Ariane go-pst1		
You all always go to the market.	3;2;32;3,3	bi nɯm nɛn dɔnə		bi nɯm nɛn dɔnə	2p-pl habitual go market		
Did I see the mosquito?	;;L,L;H	mə jən ŋaʔŋaʔ gi	5;3;1,1;3	mə jən ŋaʔŋaʔ gi	I see mosquitoe question		
Did I see the mountain?	5;3;31,1;3	mə jən koŋga gi	;;HL,L;H	mə jən koŋga gi	I see mountain question		
Did I see the millipede?		mə jən mbaŋgalaʔ gi		mə jən mbaŋgalaʔ gi	1p-sg see millipede question		
Did I see the time?	5;3;1,3;1	mə jən ŋgalaŋ gi	;;L,HL;H	mə jən ŋgalaŋ gi	I saw time question		
Did I see the road?		mə jən mɑnzə gi		mə jən mɑnzə gi	1p-sg see ? question		
Did I see the dust?		mə jən mbabə gi		mə jən mbabə gi			
Did I see the fat?		mə jən nzilə gi		mə jən nzilə gi			
Did I see the ku’nga?	5;3;31,1;3	mə jən kuʔŋga gi	;;HL,L;H	mə jən kuʔŋga gi	I see ritualdance question		
Did I see the tree parasite?		mə jən kwiʃɯ gi		mə jən kwitʃɯ gi	I see tree-parasite question		
Did I see the mango?		mə jən mɑŋgolo gi					
child of child	5;5	mɛn mɛn	LHL;H;LHL	mɛn T mɛn	child of child	change T to %, or other operator	
tree of child	5;3	tʃɯ mɛn	LHH;H;LHL	tʃɯ T mɛn	tree of child		
Did I see the examination?		mə					
I ate something, then Ariane went.	5;3;2;2;1,1,2;2,21	mə ʒɯ ʒu kɔ arian nɛnɑ̃ 		mə ʒɯ ʒu kɔ arian nɛnɑ̃ 	1p-sg eat-pst1 something then Ariane go-pst?		
Ariane ate something while I was sleeping.	3,3,5;3;3;32;2,3;2;2;2;3;3;3	arian ʒɯ ʒu ɔ ŋgalaŋ zə mə fɔ gə nzi lɔ		arian ʒɯ ʒu ɔ ŋgalaŋ zə mə fɔ gə nzi lɔ	Ariane eat-pst1 something ? time that 1p-sg ? ? sleep-prog ?	Verify tenses on this sentence.	
While I was sleeping (recently), Ariane was eating something.	3,5;3;3;3;5;5;5;3,3,5;3;4	ŋgalaŋ zə mə fɔ gə nzi lɔ arian ʒɯ ʒu		ŋgalaŋ zə mə fɔ gə nzi lɔ arian ʒɯ ʒu	while that 1p-sg ? prog sleep-pst1 ? eat-pst1 something	More info in abelew_temporal.pdf	
I slept, then Ariane kicked the dog	5;3;3;2,2,3;3;1	mə zi kɔ arian ntɛn mʙɯ		mə zi kɔ arian ntɛn mʙɯ	1p-sg sleep-pst1 then Ariane kick-pst1 dog	More info in abelew_temporal.pdf	
I will be sleeping (tonight, near future)	3;3;5;5	mɔʔ ɣɯ gə nzi		mɔʔ ɣɯ gə nzi	? ? ? sleep-prog		
I will sleep (tonight, near future)	3;3;5	mɔʔ ɣɯ nzi		mɔʔ ɣɯ nzi	? ? ?		
I will sleep (far future)	3;5;5;5	mɔʔ zi gə nzi		mɔʔ zi gə nzi	? ? ? ?		
Ariane will go while I am sleeping (tonight)	3;3;5;3;2,2,3;21	mɔʔ ɣɯ mə zi arian nɛn		mɔʔ ɣɯ mə zi arian nɛn	? ? 1p-sg sleep Ariane go-fut1		
Ariane will go while I am sleeping (far future)	3;5;5;3;2,2,3;21	mɔʔ zi mə zi arian nɛn		mɔʔ zi mə zi arian nɛn	? ? 1p-sg ? Ariane go		
Ariane will go because I am sleeping (near future)	3;3;5;5;2,2,3;21	mɔʔ ɣɯ gə nzi arian nɛn		mɔʔ ɣɯ gə nzi arian nɛn	? ? prog ? Ariane go		
Ariane went after dinner.	35,35,5;23;32;2,2,3;2,1	ʧaŋmvɯnʒɯ mi kɔ arian nɛnɑ̃		ʧaŋmvɯnʒɯ mi kɔ arian nɛnɑ̃	evening-meal finish then Ariane go	I think /mi/ is something like "finish" or "conclude"	
Ariane went before dinner.	3,3,5;2;32;23,23,3;3	arian nɛn kɔ ʧamvɯnʒɯ mbɯ		arian nɛn kɔ ʧaŋmvɯnʒɯ mbɯ	Ariane go-pst1 dinner ?		
Ariane went during dinner.	3,3,5;3,21;2,3;23,23,3	arian nɛnɑ̃ ŋgalaŋ ʧamvɯnʒɯ		arian nɛnɑ̃ ŋgalaŋ ʧaŋmvɯnʒɯ	Ariane ? while dinner		
Ariane went between lunch and dinner	3,3,5;3,21;2,3;34,3,3;2;23,23,3	arian nɛnɑ̃ nət̪ɛt̪ ʧaŋmʙɔkʧɯ bu ʧaŋmvɯnʒɯ		arian nɛnɑ̃ nətɛt ʧaŋmʙɔkʧɯ bu ʧaŋmvɯnʒɯ	Ariane go-pst1 between lunch and dinner		
Ariane cooked while I slept (recently).	3,3,5;3;2;2,3;2;2;2;3;3;3	arian na ʧaŋ ŋgalaŋ zə mə fɔ gə nzi lɔ		arian na ʧaŋ ŋgalaŋ zə mə fɔ gə nzi lɔ	Ariane ? ? while that 1p-sg ? ? ? ?		
I give the banana to him.	5;3;1,1;3	mə fɔ kəlo i		mə fɔ kolo i	1p-sg ? banana ?		
He breaks the window	3;5;3 1	a bɯʔ tonda		a bɯʔ tonda	3prs-sg-nom break window		
He / She broke the glass window	5;3;3 1	a ti tonda		a ti tonda	3prs-sg-nom breaks(glass) window	This is used only to refer to the breaking of glass objects	
He makes me break the window	5;3;3;3 1;-1 -1	a hʉ mə buʔ tonda			3prs-pres-sg-nom causative me-acc break window	'hʉ' is definetly a causative, but may be a stand alone verb.  Should elicit this	
What destroyed the village?	53;5;1;3-1;1,-3	a kɯ za sa lɔʔɔ		a kɯ zə a sa lɔʔ ɔ	3p-sg-nom what that 3p-sg-nom destroy-pst1 village wh-question-particle	To do: check tones	
The storm did. (lit. 'It is the storm.')	3;53;3,31	a bɔ fɯtmbaŋ		a bɔ fɯtmbaŋ	3p-sg-nom is storm	This sentence was elicited as the answer to the question "What destroyed the village?"	
Who found the plate?	53;5;3;51;3,-1	a wə za fɯn kaɔ		a wə zə a fɯn ka ɔ	3p-sg-nom who that 3p-sg-nom find-pst1 plate ?	I think the vowel in [wə] is a schwa, but it is already listed with a [ɯ].  	
