IPA	Gloss	Pitch	CEPOM Orthography	Grammatical Cat	Morphological Cat	Notes
ntʃɯ mɛntʃɯn	heart 			Noun	Bound morpheme	heart as part of a person's body	
	happy			Adjectivalization	Bound morpheme		
ʒʉ	outside	5		Noun	Free morpheme		
vət mɛntʃɯn	body			Noun	Free morpheme		
tʃo	story			Noun	Free morpheme		
nəʙoo	to be good, to be beautiful			Verb	Free morpheme		
və lɔm kwi	to be smart, to be happy			Verb	Free morpheme		
mbə				Complementizer	Free morpheme		
None	None		N/A	None	None		
mə	I		mə	Pronoun	None		
nɛn	progressive marker	1,3		None	None	Tone varies by context; given is for 'mə nɛn zi'	
zi	(far) future marker			Auxiliary Verb	None		
nə ʒɯ	to eat; to win		nə̀ jʉ	Verb	None	Covers the general act of eating; also covers winning in certain circumstances, e.g. an election, a contest, or a lottery.  This is a single entry since I believe "to eat" and "to win" are polysemous, not homophonous.	
kɔ	then, after, subsequently			Conjunction	None		
nə zi	to sleep			None	None		
ŋgalaŋ	time, while, during			None	None		
mʙɜ	goat	3	mbwə	Noun	None		
mɔŋgolo	mango	2,1,2,1		Noun	None		
kolo	banana		kə̀lɔ̀	Noun	None		
saŋ	bird		saŋ	Noun	None		
busi	Cat, feline	2,3	bùsi	Noun	None		
mʙɯ	dog	5	mbʉ	Noun	None		
mɔ	mother		mɑ	Noun	None		
ʒu	thing, something	3	ju	Noun	None		
mvɯnʒɯ	evening	3,5,5	mfə̌dnjʉ	Noun	None		
mʙɔktʃɯ	noon, midday	4,3	mbwogcʉ	Noun	None		
tɛtswə	nighttime, middle of the night	3,4	tɛ̀dtswə’	Noun	None		
nɛnɑ̃	go (recent past)	2,3		Verb	None	Tone varies by context; those provided match "mə zi kɔ arian nɛnɑ̃"	
mbum	egg			Noun	None		
mbaŋgalaʔ	millipede, centipede			Noun	None		
ŋgatʃɯ	tree root	2,3,2		Noun	None	The /ŋga/ is the same as the word for vein, nerve, or tendon	
nə tamɑ̃	to kick forcefully	3,5,5		Verb	None		
nə tɛnɑ̃	to kick gently, to push with foot, to push	3,5,5		Verb	None		
tʃaŋ	meal, food	5		Noun	None		
tʃaŋ mʙɔktʃɯ	lunch, midday meal	5,3,2		Noun	None		
mʙɔk	fire		mbwogə	Noun	None		
mɛnzwi	woman			Noun	None		
nə nɛnɔ	to go	3,3,5		Verb	None		
zi	sleep (present participle)	2	zi	Verb	None	Tone varies by context; tone provided is for "mə nɛn zi".	
nʒɯ	eat (past progressive)			Verb	None		
jən	see (recent past)	3	yən	None	None	Tone varies by context; given is for /mə jən mʙɯ/	
nə jənə	to see		nə yənə	Verb	None		
kəʔ	negative particle			Negation Operator	None		
gi	question particle			Interrogative Operator	None		
swɛn	sell-pst1			Transitive Verb	None		
tʃɯ	tree		cu	Noun	None		
mɛn	child	3		Noun	None		
mɛnfi	baby, infant	3,2,3		Noun	None		
andʒɯkɯ	hello			Interjection	None		
nju	snake		nyu	Noun	None		
ŋguntsə	fish, water creature	1,2,1	ngǒntsə	Noun	None	Possible morphological breakdown into “girl” and “water”	
zə	that, which, the same			Relativizer	None		
nətɛt	between, middle			Preposition	None		
numbɯ	because			Conjunction	None		
liʔ	day, 24-hour period			Noun	None		
liʔnʒɯ	day of the week	3,2		Noun	None		
ndɑnmʙu	7th day of week	3,2,2	Ntɑ̂bù’	Proper Noun	None		
ndɑnt̪ɯ	8th day of week	3,2,2	ntɑ̂ntə’	Proper Noun	None		
ndɑlɑʔ	1st day of week	5,5	ntɑnla’	Proper Noun	None		
nsiŋga	2nd day of week	3,2,3	nsigha	Proper Noun	None	Speaker says "nsi" means "god"	
nzimtɯ	3rd day of week	3,2	nsěmntə’	Proper Noun	None		
ŋga	4th day of week	3	nga	Proper Noun	None		
ŋgotʃɯ	5th day of week	3,2,3	Nkɔ̂tʉ	Proper Noun	None		
nzinjam	6th day of week	3,3	nzinyam	Proper Noun	None		
tswə	night	2		Noun	None		
ji	this			Demonstrative	None		
jəni	this			Demonstrative	None		
jənɔ	that			Demonstrative	None		
zəni	here			Adverb	None		
zənɔ	there			None	None		
wɯ	who			Interrogative Proform	None		
kɯ	what			Interrogative Proform	None		
jiɔ	where			Interrogative Proform	None		
sɯ	when			Interrogative Proform	None		
ndʒɯkɯ	how			Interrogative Proform	None		
sɔmʒu	nothing			None	None	Possibly related to /ʒu/ "thing, something"?	
fafa	all, everything			None	None		
tsəmɯʔɯ	some			None	None		
bun	few			None	None		
nə vuʔu	to be big, large, wide			Verb	None		
nə sagə	to be long	3,3,5		Verb	None	/g/ manifests as /ɣ/	
nzi	slept			Verb	None		
nɛn	go (recent past)			Verb	None		
bi	2p plural			Pronoun	None		
nɯm	habitual marker			Verbal Particle	None		
dɔnə	market			Noun	None		
nɛn	go-present			Verb	None		
T	of	H		None	None		
